,Day 1,Day 2,Day 3,Day 4,Day 5
0,{},{},"{0: sala nr 7 | Mateusz Kowalski | Język niemiecki, 1: sala nr 10 | Zofia Wiśniewska | Wychowanie fizyczne}",{0: sala nr 7 | Natalia Szymańska | Geografia},{}
1,{},{},{0: sala nr 10 | Katarzyna Mazur | Fizyka},{0: sala nr 7 | Jan Nowak | Język polski},{}
2,{0: sala nr 1 | Karolina Kamińska | Chemia},{},{},{},{}
3,{},{},{},{0: sala nr 1 | Jan Nowak | Język polski},{}
4,"{0: sala nr 3 | Zofia Wiśniewska | Wychowanie fizyczne, 1: sala nr 8 | Natalia Szymańska | Geografia, 2: sala nr 3 | Dominik Kaczor | Informatyka}",{},{},"{0: sala nr 8 | Lena Kowalska | Język angielski, 1: sala nr 9 | Paweł Lewandowski | Matematyka}",{}
5,{},{},{0: sala nr 1 | Lena Kowalska | Język angielski},{},{}
6,{},{},"{0: sala nr 3 | Lena Kowalska | Język angielski, 1: sala nr 11 | Katarzyna Mazur | Fizyka}",{},{0: sala nr 10 | Mateusz Kowalski | Język niemiecki}
7,{0: sala nr 10 | Dominik Kaczor | Informatyka},{},{},{0: sala nr 2 | Paweł Lewandowski | Matematyka},"{0: sala nr 3 | Jan Nowak | Język polski, 1: sala nr 9 | Piotr Wójcik | Biologia}"
8,{0: sala nr 11 | Dominik Kaczor | Informatyka},"{0: sala nr 6 | Lena Kowalska | Język angielski, 1: sala nr 7 | Katarzyna Mazur | Fizyka}",{},{},{}
9,{0: sala nr 10 | Jan Nowak | Język polski},{},{},{0: sala nr 1 | Paweł Lewandowski | Matematyka},{0: sala nr 10 | Zofia Wiśniewska | Wychowanie fizyczne}
10,{},{},{},{},{}
11,{},{0: sala nr 9 | Paweł Lewandowski | Matematyka},{},{},"{0: sala nr 9 | Piotr Wójcik | Biologia, 1: sala nr 7 | Karolina Kamińska | Chemia}"
12,{0: sala nr 5 | Katarzyna Mazur | Fizyka},{},{0: sala nr 7 | Dominik Kaczor | Informatyka},{},{0: sala nr 9 | Dominik Kaczor | Informatyka}
13,{0: sala nr 9 | Paweł Lewandowski | Matematyka},{},{},{},{}
