,Day 1,Day 2,Day 3,Day 4,Day 5
0,{},{0: sala nr 7 | Katarzyna Mazur | Fizyka},{0: sala nr 4 | Mateusz Kowalski | Język niemiecki},{0: sala nr 1 | Natalia Szymańska | Geografia},{0: sala nr 10 | Dominik Kaczor | Informatyka}
1,{},{},{},"{0: sala nr 6 | Karolina Kamińska | Chemia, 1: sala nr 1 | Paweł Lewandowski | Matematyka}",{}
2,{},{},{},{},{0: sala nr 2 | Zofia Wiśniewska | Wychowanie fizyczne}
3,{},{0: sala nr 11 | Paweł Lewandowski | Matematyka},{},{},{}
4,{},{0: sala nr 2 | Jan Nowak | Język polski},{},"{0: sala nr 5 | Jan Nowak | Język polski, 1: sala nr 2 | Mateusz Kowalski | Język niemiecki}",{0: sala nr 5 | Jan Nowak | Język polski}
5,{},{},{},{0: sala nr 3 | Paweł Lewandowski | Matematyka},{}
6,{},{0: sala nr 5 | Piotr Wójcik | Biologia},{},{},{}
7,{},"{0: sala nr 3 | Lena Kowalska | Język angielski, 1: sala nr 3 | Dominik Kaczor | Informatyka}",{},{},{}
8,{},{0: sala nr 6 | Dominik Kaczor | Informatyka},{0: sala nr 4 | Lena Kowalska | Język angielski},{},{0: sala nr 5 | Dominik Kaczor | Informatyka}
9,{0: sala nr 3 | Lena Kowalska | Język angielski},{},{0: sala nr 3 | Paweł Lewandowski | Matematyka},{0: sala nr 9 | Jan Nowak | Język polski},{}
10,{},{},{},"{0: sala nr 3 | Zofia Wiśniewska | Wychowanie fizyczne, 1: sala nr 2 | Katarzyna Mazur | Fizyka}",{0: sala nr 2 | Natalia Szymańska | Geografia}
11,{},{},{},{0: sala nr 7 | Piotr Wójcik | Biologia},{}
12,{},{},{0: sala nr 3 | Lena Kowalska | Język angielski},{0: sala nr 7 | Katarzyna Mazur | Fizyka},{}
13,{},"{0: sala nr 9 | Zofia Wiśniewska | Wychowanie fizyczne, 1: sala nr 7 | Karolina Kamińska | Chemia}","{0: sala nr 1 | Paweł Lewandowski | Matematyka, 1: sala nr 10 | Dominik Kaczor | Informatyka}",{0: sala nr 8 | Katarzyna Mazur | Fizyka},{}
