,Day 1,Day 2,Day 3,Day 4,Day 5
0,{},"{0: sala nr 11 | Jan Nowak | Język polski, 1: sala nr 9 | Zofia Wiśniewska | Wychowanie fizyczne}","{0: sala nr 9 | Jan Nowak | Język polski, 1: sala nr 3 | Lena Kowalska | Język angielski}",{},{}
1,{0: sala nr 5 | Dominik Kaczor | Informatyka},{},{},{0: sala nr 11 | Natalia Szymańska | Geografia},{0: sala nr 5 | Katarzyna Mazur | Fizyka}
2,{},{0: sala nr 11 | Katarzyna Mazur | Fizyka},{},{},{}
3,{},{0: sala nr 3 | Katarzyna Mazur | Fizyka},{0: sala nr 6 | Paweł Lewandowski | Matematyka},{},{0: sala nr 2 | Paweł Lewandowski | Matematyka}
4,{},{},"{0: sala nr 3 | Lena Kowalska | Język angielski, 1: sala nr 9 | Paweł Lewandowski | Matematyka}",{0: sala nr 2 | Paweł Lewandowski | Matematyka},{0: sala nr 2 | Lena Kowalska | Język angielski}
5,{},{},{0: sala nr 3 | Piotr Wójcik | Biologia},"{0: sala nr 8 | Lena Kowalska | Język angielski, 1: sala nr 6 | Dominik Kaczor | Informatyka}",{}
6,"{0: sala nr 11 | Zofia Wiśniewska | Wychowanie fizyczne, 1: sala nr 10 | Karolina Kamińska | Chemia}",{},{0: sala nr 7 | Piotr Wójcik | Biologia},{},{}
7,{},{0: sala nr 7 | Jan Nowak | Język polski},{},{},{0: sala nr 6 | Mateusz Kowalski | Język niemiecki}
8,"{0: sala nr 3 | Dominik Kaczor | Informatyka, 1: sala nr 10 | Dominik Kaczor | Informatyka}",{},{},"{0: sala nr 3 | Jan Nowak | Język polski, 1: sala nr 7 | Zofia Wiśniewska | Wychowanie fizyczne}",{}
9,"{0: sala nr 9 | Mateusz Kowalski | Język niemiecki, 1: sala nr 10 | Natalia Szymańska | Geografia}",{0: sala nr 2 | Katarzyna Mazur | Fizyka},"{0: sala nr 10 | Paweł Lewandowski | Matematyka, 1: sala nr 11 | Dominik Kaczor | Informatyka}",{},{}
10,{},{},{},{},{}
11,{},{},{},{},{}
12,{},{},{},{0: sala nr 10 | Karolina Kamińska | Chemia},{}
13,{},{},{},{},{}
