,Day 1,Day 2,Day 3,Day 4,Day 5
0,{},{},{},{},"{0: sala nr 9 | Lena Kowalska | Język angielski, 1: sala nr 10 | Piotr Wójcik | Biologia}"
1,{},{0: sala nr 7 | Jan Nowak | Język polski},{},{},{0: sala nr 1 | Paweł Lewandowski | Matematyka}
2,{},{},{},"{0: sala nr 11 | Piotr Wójcik | Biologia, 1: sala nr 5 | Paweł Lewandowski | Matematyka}",{}
3,"{0: sala nr 11 | Natalia Szymańska | Geografia, 1: sala nr 2 | Dominik Kaczor | Informatyka, 2: sala nr 2 | Dominik Kaczor | Informatyka}",{},{0: sala nr 8 | Jan Nowak | Język polski},{},{0: sala nr 6 | Lena Kowalska | Język angielski}
4,{0: sala nr 3 | Zofia Wiśniewska | Wychowanie fizyczne},{},{},{},"{0: sala nr 5 | Paweł Lewandowski | Matematyka, 1: sala nr 4 | Katarzyna Mazur | Fizyka}"
5,{0: sala nr 5 | Paweł Lewandowski | Matematyka},{},{},{0: sala nr 9 | Jan Nowak | Język polski},{}
6,{},{0: sala nr 6 | Jan Nowak | Język polski},{},{},{0: sala nr 2 | Dominik Kaczor | Informatyka}
7,{},{},{0: sala nr 8 | Lena Kowalska | Język angielski},{},{}
8,{0: sala nr 3 | Katarzyna Mazur | Fizyka},{},{0: sala nr 1 | Mateusz Kowalski | Język niemiecki},{0: sala nr 11 | Zofia Wiśniewska | Wychowanie fizyczne},{}
9,{},{0: sala nr 8 | Lena Kowalska | Język angielski},{},{},{}
10,{},{0: sala nr 2 | Dominik Kaczor | Informatyka},{0: sala nr 3 | Paweł Lewandowski | Matematyka},{},{}
11,{},{0: sala nr 10 | Mateusz Kowalski | Język niemiecki},{},{},{}
12,{},{},{},{0: sala nr 4 | Katarzyna Mazur | Fizyka},"{0: sala nr 1 | Karolina Kamińska | Chemia, 1: sala nr 7 | Dominik Kaczor | Informatyka}"
13,{0: sala nr 6 | Zofia Wiśniewska | Wychowanie fizyczne},{},{0: sala nr 1 | Katarzyna Mazur | Fizyka},{0: sala nr 3 | Karolina Kamińska | Chemia},{0: sala nr 6 | Natalia Szymańska | Geografia}
