Hours,Day 1,Day 2,Day 3,Day 4,Day 5
8:00-8:45,{},{0: sala nr 6 | Dominik Kaczor | Informatyka},{},{},{}
8:50-9:35,{},{0: sala nr 5 | Paweł Lewandowski | Matematyka},{},{0: sala nr 6 | Lena Kowalska | Język angielski},{}
9:40-10:45,{},{},{},{},{}
10:50-11:35,{},{0: sala nr 8 | Katarzyna Mazur | Fizyka},{},{},{0: sala nr 6 | Mateusz Kowalski | Język niemiecki}
11:40-12:25,{},{},"{0: sala nr 9 | Jan Nowak | Język polski, 1: sala nr 4 | Karolina Kamińska | Chemia}","{0: sala nr 10 | Lena Kowalska | Język angielski, 1: sala nr 10 | Natalia Szymańska | Geografia, 2: sala nr 1 | Dominik Kaczor | Informatyka}",{0: sala nr 4 | Piotr Wójcik | Biologia}
12:30-13:15,{},{},"{0: sala nr 10 | Mateusz Kowalski | Język niemiecki, 1: sala nr 4 | Dominik Kaczor | Informatyka}",{},"{0: sala nr 5 | Piotr Wójcik | Biologia, 1: sala nr 9 | Paweł Lewandowski | Matematyka}"
13:20-14:05,{0: sala nr 8 | Katarzyna Mazur | Fizyka},{},{},{},{}
14:10-14:55,{},{},{},{0: sala nr 10 | Dominik Kaczor | Informatyka},{}
15:00-15:45,{0: sala nr 1 | Lena Kowalska | Język angielski},{},{},{0: sala nr 3 | Paweł Lewandowski | Matematyka},{0: sala nr 11 | Jan Nowak | Język polski}
15:50-16:35,{},{},{},{0: sala nr 7 | Katarzyna Mazur | Fizyka},{}
16:40-17:25,{},{},{},{0: sala nr 6 | Zofia Wiśniewska | Wychowanie fizyczne},{}
17:30-18:15,{0: sala nr 6 | Natalia Szymańska | Geografia},{},{},{},{}
18:20-19:05,"{0: sala nr 6 | Zofia Wiśniewska | Wychowanie fizyczne, 1: sala nr 2 | Dominik Kaczor | Informatyka}",{},"{0: sala nr 1 | Jan Nowak | Język polski, 1: sala nr 9 | Karolina Kamińska | Chemia}","{0: sala nr 10 | Zofia Wiśniewska | Wychowanie fizyczne, 1: sala nr 10 | Paweł Lewandowski | Matematyka}",{0: sala nr 5 | Paweł Lewandowski | Matematyka}
