Hours,Day 1,Day 2,Day 3,Day 4,Day 5
8:00-8:45,{0: sala nr 1 | Jan Nowak | Język polski},{},{},{},{0: sala nr 1 | Lena Kowalska | Język angielski}
8:50-9:35,{0: sala nr 4 | Paweł Lewandowski | Matematyka},{0: sala nr 4 | Paweł Lewandowski | Matematyka},{},{0: sala nr 11 | Piotr Wójcik | Biologia},{0: sala nr 5 | Piotr Wójcik | Biologia}
9:40-10:45,{},{},{0: sala nr 2 | Dominik Kaczor | Informatyka},{},{}
10:50-11:35,{},{0: sala nr 3 | Katarzyna Mazur | Fizyka},{},{},{}
11:40-12:25,{},{0: sala nr 9 | Paweł Lewandowski | Matematyka},{0: sala nr 9 | Katarzyna Mazur | Fizyka},{},{0: sala nr 7 | Paweł Lewandowski | Matematyka}
12:30-13:15,{0: sala nr 3 | Jan Nowak | Język polski},{},{},{0: sala nr 7 | Natalia Szymańska | Geografia},{}
13:20-14:05,{0: sala nr 9 | Katarzyna Mazur | Fizyka},{},"{0: sala nr 9 | Lena Kowalska | Język angielski, 1: sala nr 9 | Dominik Kaczor | Informatyka}",{},{}
14:10-14:55,{},"{0: sala nr 6 | Zofia Wiśniewska | Wychowanie fizyczne, 1: sala nr 11 | Karolina Kamińska | Chemia, 2: sala nr 8 | Paweł Lewandowski | Matematyka, 3: sala nr 5 | Dominik Kaczor | Informatyka}",{0: sala nr 3 | Dominik Kaczor | Informatyka},{0: sala nr 3 | Dominik Kaczor | Informatyka},{0: sala nr 2 | Mateusz Kowalski | Język niemiecki}
15:00-15:45,{},{},{},{0: sala nr 11 | Natalia Szymańska | Geografia},{0: sala nr 2 | Jan Nowak | Język polski}
15:50-16:35,{},{},{},{},{}
16:40-17:25,{},{},{},{0: sala nr 1 | Zofia Wiśniewska | Wychowanie fizyczne},{}
17:30-18:15,{},{},{},{},{0: sala nr 8 | Mateusz Kowalski | Język niemiecki}
18:20-19:05,{},{0: sala nr 11 | Lena Kowalska | Język angielski},{0: sala nr 6 | Zofia Wiśniewska | Wychowanie fizyczne},{},{0: sala nr 11 | Karolina Kamińska | Chemia}
