,Day 1,Day 2,Day 3,Day 4,Day 5
0,{},{},{0: sala nr 9 | Zofia Wiśniewska | Wychowanie fizyczne},{},{0: sala nr 11 | Katarzyna Mazur | Fizyka}
1,{},{0: sala nr 7 | Katarzyna Mazur | Fizyka},{0: sala nr 2 | Dominik Kaczor | Informatyka},{},{0: sala nr 3 | Karolina Kamińska | Chemia}
2,{},{},{0: sala nr 6 | Jan Nowak | Język polski},{},{0: sala nr 2 | Paweł Lewandowski | Matematyka}
3,{},{0: sala nr 2 | Katarzyna Mazur | Fizyka},{0: sala nr 3 | Lena Kowalska | Język angielski},{},{0: sala nr 2 | Lena Kowalska | Język angielski}
4,{},{0: sala nr 2 | Dominik Kaczor | Informatyka},{0: sala nr 6 | Jan Nowak | Język polski},{},{}
5,{},{},{},{},{}
6,{},{0: sala nr 11 | Zofia Wiśniewska | Wychowanie fizyczne},{0: sala nr 2 | Piotr Wójcik | Biologia},{},{}
7,{0: sala nr 10 | Natalia Szymańska | Geografia},{0: sala nr 9 | Piotr Wójcik | Biologia},{0: sala nr 10 | Karolina Kamińska | Chemia},{0: sala nr 3 | Mateusz Kowalski | Język niemiecki},{0: sala nr 11 | Dominik Kaczor | Informatyka}
8,{0: sala nr 11 | Lena Kowalska | Język angielski},{0: sala nr 6 | Paweł Lewandowski | Matematyka},{},{0: sala nr 7 | Paweł Lewandowski | Matematyka},{0: sala nr 7 | Natalia Szymańska | Geografia}
9,{0: sala nr 3 | Paweł Lewandowski | Matematyka},{0: sala nr 7 | Mateusz Kowalski | Język niemiecki},{},{0: sala nr 7 | Lena Kowalska | Język angielski},{0: sala nr 6 | Zofia Wiśniewska | Wychowanie fizyczne}
10,{},{},{},{0: sala nr 8 | Dominik Kaczor | Informatyka},{}
11,{0: sala nr 7 | Jan Nowak | Język polski},{},{},{},{}
12,{0: sala nr 2 | Paweł Lewandowski | Matematyka},{0: sala nr 8 | Katarzyna Mazur | Fizyka},{},{},{}
13,{0: sala nr 7 | Dominik Kaczor | Informatyka},{0: sala nr 5 | Jan Nowak | Język polski},{},{},{}
