,Day 1,Day 2,Day 3,Day 4,Day 5
0,{},{0: sala nr 1 | Lena Kowalska | Język angielski},{},{0: sala nr 5 | Karolina Kamińska | Chemia},{0: sala nr 10 | Paweł Lewandowski | Matematyka}
1,{},{0: sala nr 4 | Lena Kowalska | Język angielski},{},{0: sala nr 4 | Jan Nowak | Język polski},{0: sala nr 4 | Katarzyna Mazur | Fizyka}
2,{},{0: sala nr 5 | Dominik Kaczor | Informatyka},{},{0: sala nr 9 | Zofia Wiśniewska | Wychowanie fizyczne},{0: sala nr 5 | Dominik Kaczor | Informatyka}
3,{},{0: sala nr 11 | Natalia Szymańska | Geografia},{0: sala nr 8 | Dominik Kaczor | Informatyka},{0: sala nr 6 | Piotr Wójcik | Biologia},{}
4,{},{},{0: sala nr 7 | Lena Kowalska | Język angielski},{0: sala nr 5 | Natalia Szymańska | Geografia},{0: sala nr 6 | Lena Kowalska | Język angielski}
5,{},{0: sala nr 7 | Mateusz Kowalski | Język niemiecki},{0: sala nr 2 | Piotr Wójcik | Biologia},{0: sala nr 7 | Dominik Kaczor | Informatyka},{0: sala nr 10 | Karolina Kamińska | Chemia}
6,{0: sala nr 10 | Zofia Wiśniewska | Wychowanie fizyczne},{},{0: sala nr 5 | Katarzyna Mazur | Fizyka},{0: sala nr 6 | Katarzyna Mazur | Fizyka},{0: sala nr 7 | Jan Nowak | Język polski}
7,{0: sala nr 4 | Paweł Lewandowski | Matematyka},{},{},{0: sala nr 11 | Dominik Kaczor | Informatyka},{0: sala nr 4 | Katarzyna Mazur | Fizyka}
8,{0: sala nr 7 | Jan Nowak | Język polski},{},{0: sala nr 8 | Paweł Lewandowski | Matematyka},{},{0: sala nr 4 | Zofia Wiśniewska | Wychowanie fizyczne}
9,{0: sala nr 7 | Mateusz Kowalski | Język niemiecki},{},{},{},{}
10,{0: sala nr 3 | Paweł Lewandowski | Matematyka},{},{0: sala nr 10 | Jan Nowak | Język polski},{},{}
11,{},{},{0: sala nr 6 | Paweł Lewandowski | Matematyka},{},{}
12,{},{},{},{},{}
13,{},{},{},{},{}
