,Day 1,Day 2,Day 3,Day 4,Day 5
0,{},{0: sala nr 8 | Piotr Wójcik | Biologia},{0: sala nr 8 | Dominik Kaczor | Informatyka},{},{}
1,{},{0: sala nr 3 | Dominik Kaczor | Informatyka},{},{},{}
2,{},{0: sala nr 7 | Paweł Lewandowski | Matematyka},{0: sala nr 8 | Paweł Lewandowski | Matematyka},{0: sala nr 10 | Katarzyna Mazur | Fizyka},{}
3,{},{0: sala nr 9 | Dominik Kaczor | Informatyka},{},{},{0: sala nr 10 | Karolina Kamińska | Chemia}
4,{0: sala nr 11 | Piotr Wójcik | Biologia},{0: sala nr 4 | Katarzyna Mazur | Fizyka},{},{0: sala nr 6 | Jan Nowak | Język polski},{0: sala nr 1 | Dominik Kaczor | Informatyka}
5,{0: sala nr 2 | Katarzyna Mazur | Fizyka},{0: sala nr 8 | Jan Nowak | Język polski},{0: sala nr 4 | Zofia Wiśniewska | Wychowanie fizyczne},{0: sala nr 11 | Zofia Wiśniewska | Wychowanie fizyczne},{0: sala nr 11 | Dominik Kaczor | Informatyka}
6,{0: sala nr 5 | Paweł Lewandowski | Matematyka},{0: sala nr 6 | Paweł Lewandowski | Matematyka},{},{},{0: sala nr 3 | Lena Kowalska | Język angielski}
7,{0: sala nr 8 | Lena Kowalska | Język angielski},{0: sala nr 1 | Jan Nowak | Język polski},{0: sala nr 2 | Jan Nowak | Język polski},{0: sala nr 4 | Karolina Kamińska | Chemia},{}
8,{0: sala nr 3 | Zofia Wiśniewska | Wychowanie fizyczne},{0: sala nr 11 | Natalia Szymańska | Geografia},{},{},{}
9,{},{},{0: sala nr 9 | Lena Kowalska | Język angielski},{},{}
10,{},{},{},{0: sala nr 3 | Natalia Szymańska | Geografia},{}
11,{},{},{},{0: sala nr 4 | Paweł Lewandowski | Matematyka},{}
12,{},{},{0: sala nr 9 | Katarzyna Mazur | Fizyka},{0: sala nr 3 | Mateusz Kowalski | Język niemiecki},{}
13,{},{},{0: sala nr 4 | Lena Kowalska | Język angielski},{0: sala nr 4 | Mateusz Kowalski | Język niemiecki},{}
