,Day 1,Day 2,Day 3,Day 4,Day 5
0,{0: sala nr 11 | Dominik Kaczor | Informatyka},{0: sala nr 11 | Katarzyna Mazur | Fizyka},{0: sala nr 10 | Piotr Wójcik | Biologia},{},{0: sala nr 8 | Lena Kowalska | Język angielski}
1,{0: sala nr 11 | Jan Nowak | Język polski},{0: sala nr 2 | Karolina Kamińska | Chemia},{0: sala nr 8 | Paweł Lewandowski | Matematyka},{},{0: sala nr 6 | Lena Kowalska | Język angielski}
2,{0: sala nr 2 | Dominik Kaczor | Informatyka},{0: sala nr 3 | Zofia Wiśniewska | Wychowanie fizyczne},{0: sala nr 3 | Dominik Kaczor | Informatyka},{},{0: sala nr 4 | Lena Kowalska | Język angielski}
3,{0: sala nr 8 | Katarzyna Mazur | Fizyka},{0: sala nr 7 | Jan Nowak | Język polski},{0: sala nr 7 | Mateusz Kowalski | Język niemiecki},{0: sala nr 4 | Lena Kowalska | Język angielski},{0: sala nr 5 | Paweł Lewandowski | Matematyka}
4,{},{},{0: sala nr 1 | Dominik Kaczor | Informatyka},{0: sala nr 4 | Katarzyna Mazur | Fizyka},{}
5,{0: sala nr 10 | Paweł Lewandowski | Matematyka},{},{0: sala nr 10 | Mateusz Kowalski | Język niemiecki},{},{0: sala nr 7 | Jan Nowak | Język polski}
6,{},{},{},{0: sala nr 7 | Paweł Lewandowski | Matematyka},{0: sala nr 8 | Katarzyna Mazur | Fizyka}
7,{0: sala nr 5 | Karolina Kamińska | Chemia},{},{},{0: sala nr 1 | Jan Nowak | Język polski},{0: sala nr 3 | Zofia Wiśniewska | Wychowanie fizyczne}
8,{0: sala nr 5 | Dominik Kaczor | Informatyka},{},{0: sala nr 2 | Zofia Wiśniewska | Wychowanie fizyczne},{0: sala nr 2 | Piotr Wójcik | Biologia},{}
9,{},{},{0: sala nr 8 | Natalia Szymańska | Geografia},{0: sala nr 11 | Paweł Lewandowski | Matematyka},{}
10,{},{},{},{},{}
11,{},{},{},{},{}
12,{},{},{},{0: sala nr 6 | Natalia Szymańska | Geografia},{}
13,{},{},{},{},{}
