,Day 1,Day 2,Day 3,Day 4,Day 5
0,{0: sala nr 1 | Paweł Lewandowski | Matematyka},{0: sala nr 10 | Dominik Kaczor | Informatyka},{0: sala nr 3 | Jan Nowak | Język polski},{0: sala nr 2 | Piotr Wójcik | Biologia},{}
1,{0: sala nr 2 | Dominik Kaczor | Informatyka},{0: sala nr 9 | Paweł Lewandowski | Matematyka},{0: sala nr 11 | Piotr Wójcik | Biologia},{},{}
2,{0: sala nr 1 | Katarzyna Mazur | Fizyka},{},{},{0: sala nr 2 | Paweł Lewandowski | Matematyka},{}
3,{0: sala nr 3 | Jan Nowak | Język polski},{0: sala nr 5 | Zofia Wiśniewska | Wychowanie fizyczne},{0: sala nr 5 | Natalia Szymańska | Geografia},{0: sala nr 3 | Jan Nowak | Język polski},{}
4,{},{0: sala nr 5 | Mateusz Kowalski | Język niemiecki},{0: sala nr 3 | Paweł Lewandowski | Matematyka},{0: sala nr 11 | Zofia Wiśniewska | Wychowanie fizyczne},{}
5,{},{0: sala nr 9 | Lena Kowalska | Język angielski},{0: sala nr 8 | Karolina Kamińska | Chemia},{},{}
6,{0: sala nr 11 | Lena Kowalska | Język angielski},{},{0: sala nr 9 | Zofia Wiśniewska | Wychowanie fizyczne},{0: sala nr 2 | Dominik Kaczor | Informatyka},{}
7,{},{},{0: sala nr 11 | Katarzyna Mazur | Fizyka},{0: sala nr 2 | Katarzyna Mazur | Fizyka},{}
8,{0: sala nr 9 | Karolina Kamińska | Chemia},{},{0: sala nr 5 | Natalia Szymańska | Geografia},{0: sala nr 9 | Katarzyna Mazur | Fizyka},{}
9,{},{},{},{0: sala nr 8 | Dominik Kaczor | Informatyka},{}
10,{},{},{},{0: sala nr 6 | Lena Kowalska | Język angielski},{0: sala nr 4 | Lena Kowalska | Język angielski}
11,{0: sala nr 8 | Paweł Lewandowski | Matematyka},{},{},{},{0: sala nr 7 | Mateusz Kowalski | Język niemiecki}
12,{},{},{},{},{0: sala nr 3 | Jan Nowak | Język polski}
13,{},{},{},{},{0: sala nr 3 | Dominik Kaczor | Informatyka}
