,Day 1,Day 2,Day 3,Day 4,Day 5
0,{},{0: sala nr 4 | Jan Nowak | Język polski},{0: sala nr 9 | Lena Kowalska | Język angielski},{0: sala nr 1 | Mateusz Kowalski | Język niemiecki},{0: sala nr 11 | Zofia Wiśniewska | Wychowanie fizyczne}
1,{},{0: sala nr 8 | Zofia Wiśniewska | Wychowanie fizyczne},{0: sala nr 10 | Katarzyna Mazur | Fizyka},{0: sala nr 2 | Paweł Lewandowski | Matematyka},{0: sala nr 5 | Lena Kowalska | Język angielski}
2,{},{0: sala nr 2 | Paweł Lewandowski | Matematyka},{0: sala nr 8 | Katarzyna Mazur | Fizyka},{0: sala nr 7 | Dominik Kaczor | Informatyka},{0: sala nr 8 | Piotr Wójcik | Biologia}
3,{},{0: sala nr 11 | Lena Kowalska | Język angielski},{0: sala nr 8 | Natalia Szymańska | Geografia},{0: sala nr 6 | Lena Kowalska | Język angielski},{0: sala nr 9 | Dominik Kaczor | Informatyka}
4,{},{0: sala nr 6 | Dominik Kaczor | Informatyka},{0: sala nr 9 | Karolina Kamińska | Chemia},{0: sala nr 5 | Jan Nowak | Język polski},{0: sala nr 2 | Paweł Lewandowski | Matematyka}
5,{0: sala nr 1 | Dominik Kaczor | Informatyka},{0: sala nr 5 | Dominik Kaczor | Informatyka},{0: sala nr 9 | Zofia Wiśniewska | Wychowanie fizyczne},{},{}
6,{0: sala nr 3 | Mateusz Kowalski | Język niemiecki},{},{0: sala nr 7 | Jan Nowak | Język polski},{},{}
7,{0: sala nr 1 | Natalia Szymańska | Geografia},{},{0: sala nr 9 | Paweł Lewandowski | Matematyka},{},{}
8,{0: sala nr 2 | Paweł Lewandowski | Matematyka},{},{},{},{}
9,{0: sala nr 5 | Piotr Wójcik | Biologia},{},{},{},{}
10,{0: sala nr 8 | Karolina Kamińska | Chemia},{},{},{},{}
11,{0: sala nr 6 | Katarzyna Mazur | Fizyka},{},{},{},{}
12,{0: sala nr 7 | Katarzyna Mazur | Fizyka},{},{},{},{}
13,{0: sala nr 10 | Jan Nowak | Język polski},{},{},{},{}
