,Day 1,Day 2,Day 3,Day 4,Day 5
0,{0: sala nr 1 | Dominik Kaczor | Informatyka},{},{0: sala nr 11 | Katarzyna Mazur | Fizyka},{},{}
1,{0: sala nr 3 | Paweł Lewandowski | Matematyka},{},{0: sala nr 8 | Paweł Lewandowski | Matematyka},{},{}
2,{0: sala nr 4 | Lena Kowalska | Język angielski},{0: sala nr 1 | Dominik Kaczor | Informatyka},{0: sala nr 11 | Zofia Wiśniewska | Wychowanie fizyczne},{},{}
3,{0: sala nr 10 | Paweł Lewandowski | Matematyka},{0: sala nr 7 | Natalia Szymańska | Geografia},{0: sala nr 11 | Jan Nowak | Język polski},{},{}
4,{0: sala nr 9 | Katarzyna Mazur | Fizyka},{0: sala nr 7 | Jan Nowak | Język polski},{0: sala nr 4 | Natalia Szymańska | Geografia},{},{0: sala nr 8 | Lena Kowalska | Język angielski}
5,{},{0: sala nr 2 | Zofia Wiśniewska | Wychowanie fizyczne},{},{},{0: sala nr 2 | Piotr Wójcik | Biologia}
6,{},{0: sala nr 3 | Katarzyna Mazur | Fizyka},{},{},{0: sala nr 8 | Katarzyna Mazur | Fizyka}
7,{},{},{},{0: sala nr 8 | Paweł Lewandowski | Matematyka},{0: sala nr 2 | Karolina Kamińska | Chemia}
8,{},{0: sala nr 3 | Mateusz Kowalski | Język niemiecki},{},{0: sala nr 8 | Zofia Wiśniewska | Wychowanie fizyczne},{0: sala nr 7 | Jan Nowak | Język polski}
9,{},{0: sala nr 1 | Karolina Kamińska | Chemia},{},{0: sala nr 10 | Jan Nowak | Język polski},{}
10,{},{},{},{0: sala nr 7 | Lena Kowalska | Język angielski},{0: sala nr 8 | Mateusz Kowalski | Język niemiecki}
11,{},{},{},{0: sala nr 6 | Piotr Wójcik | Biologia},{0: sala nr 11 | Paweł Lewandowski | Matematyka}
12,{},{},{},{0: sala nr 10 | Dominik Kaczor | Informatyka},{0: sala nr 2 | Dominik Kaczor | Informatyka}
13,{},{},{},{0: sala nr 10 | Dominik Kaczor | Informatyka},{0: sala nr 5 | Lena Kowalska | Język angielski}
