,Day 1,Day 2,Day 3,Day 4,Day 5
0,{},{},{0: sala nr 1 | Jan Nowak | Język polski},{0: sala nr 4 | Zofia Wiśniewska | Wychowanie fizyczne},{}
1,{},{},{0: sala nr 7 | Lena Kowalska | Język angielski},{0: sala nr 11 | Katarzyna Mazur | Fizyka},{}
2,{},{},{0: sala nr 6 | Paweł Lewandowski | Matematyka},{0: sala nr 5 | Piotr Wójcik | Biologia},{}
3,{},{},{0: sala nr 1 | Dominik Kaczor | Informatyka},{0: sala nr 1 | Zofia Wiśniewska | Wychowanie fizyczne},{}
4,{},{},{0: sala nr 1 | Katarzyna Mazur | Fizyka},{0: sala nr 7 | Paweł Lewandowski | Matematyka},{}
5,{},{0: sala nr 9 | Paweł Lewandowski | Matematyka},{0: sala nr 6 | Natalia Szymańska | Geografia},{0: sala nr 10 | Natalia Szymańska | Geografia},{}
6,{0: sala nr 4 | Jan Nowak | Język polski},{0: sala nr 10 | Zofia Wiśniewska | Wychowanie fizyczne},{0: sala nr 4 | Mateusz Kowalski | Język niemiecki},{0: sala nr 8 | Mateusz Kowalski | Język niemiecki},{}
7,{0: sala nr 10 | Paweł Lewandowski | Matematyka},{0: sala nr 7 | Dominik Kaczor | Informatyka},{0: sala nr 5 | Karolina Kamińska | Chemia},{0: sala nr 2 | Dominik Kaczor | Informatyka},{}
8,{},{0: sala nr 1 | Lena Kowalska | Język angielski},{},{},{}
9,{0: sala nr 8 | Lena Kowalska | Język angielski},{0: sala nr 6 | Katarzyna Mazur | Fizyka},{},{},{0: sala nr 6 | Dominik Kaczor | Informatyka}
10,{0: sala nr 10 | Dominik Kaczor | Informatyka},{},{},{},{0: sala nr 6 | Lena Kowalska | Język angielski}
11,{},{0: sala nr 10 | Jan Nowak | Język polski},{},{},{0: sala nr 7 | Katarzyna Mazur | Fizyka}
12,{},{0: sala nr 4 | Jan Nowak | Język polski},{},{},{0: sala nr 1 | Karolina Kamińska | Chemia}
13,{},{0: sala nr 10 | Piotr Wójcik | Biologia},{},{},{0: sala nr 1 | Paweł Lewandowski | Matematyka}
