,Day 1,Day 2,Day 3,Day 4,Day 5
0,{},{},{},{},{}
1,{},{},{},{},{}
2,{},{},{},{},{}
3,{},{},{},{0: sala nr 1 | Karolina Kamińska | Chemia},{}
4,{},{},{},{0: sala nr 9 | Paweł Lewandowski | Matematyka},{}
5,{},{},{},{0: sala nr 7 | Dominik Kaczor | Informatyka},{}
6,{},{},{},{0: sala nr 7 | Natalia Szymańska | Geografia},{}
7,{},{0: sala nr 1 | Jan Nowak | Język polski},{},{0: sala nr 10 | Katarzyna Mazur | Fizyka},{0: sala nr 10 | Zofia Wiśniewska | Wychowanie fizyczne}
8,{0: sala nr 10 | Zofia Wiśniewska | Wychowanie fizyczne},{0: sala nr 9 | Piotr Wójcik | Biologia},{0: sala nr 9 | Dominik Kaczor | Informatyka},{0: sala nr 8 | Lena Kowalska | Język angielski},{0: sala nr 6 | Lena Kowalska | Język angielski}
9,{0: sala nr 3 | Jan Nowak | Język polski},{0: sala nr 3 | Zofia Wiśniewska | Wychowanie fizyczne},{0: sala nr 9 | Paweł Lewandowski | Matematyka},{0: sala nr 9 | Piotr Wójcik | Biologia},{0: sala nr 10 | Mateusz Kowalski | Język niemiecki}
10,{0: sala nr 9 | Paweł Lewandowski | Matematyka},{0: sala nr 1 | Lena Kowalska | Język angielski},{0: sala nr 8 | Natalia Szymańska | Geografia},{},{0: sala nr 1 | Paweł Lewandowski | Matematyka}
11,{0: sala nr 5 | Katarzyna Mazur | Fizyka},{0: sala nr 3 | Lena Kowalska | Język angielski},{0: sala nr 10 | Jan Nowak | Język polski},{},{0: sala nr 3 | Dominik Kaczor | Informatyka}
12,{0: sala nr 7 | Mateusz Kowalski | Język niemiecki},{0: sala nr 2 | Paweł Lewandowski | Matematyka},{0: sala nr 7 | Karolina Kamińska | Chemia},{},{0: sala nr 7 | Jan Nowak | Język polski}
13,{0: sala nr 11 | Dominik Kaczor | Informatyka},{0: sala nr 11 | Katarzyna Mazur | Fizyka},{0: sala nr 7 | Katarzyna Mazur | Fizyka},{},{0: sala nr 10 | Dominik Kaczor | Informatyka}
