,Day 1,Day 2,Day 3,Day 4,Day 5
0,{},{},{0: sala nr 3 | Paweł Lewandowski | Matematyka},{},{}
1,{},{},{0: sala nr 2 | Piotr Wójcik | Biologia},{},{}
2,{},{},{0: sala nr 7 | Dominik Kaczor | Informatyka},{},{}
3,{},{},{0: sala nr 10 | Katarzyna Mazur | Fizyka},{},{}
4,{0: sala nr 4 | Lena Kowalska | Język angielski},{},{0: sala nr 3 | Paweł Lewandowski | Matematyka},{},{}
5,{0: sala nr 9 | Karolina Kamińska | Chemia},{},{},{},{}
6,{0: sala nr 9 | Lena Kowalska | Język angielski},{},{},{0: sala nr 5 | Karolina Kamińska | Chemia},{}
7,{},{0: sala nr 1 | Zofia Wiśniewska | Wychowanie fizyczne},{},{0: sala nr 1 | Katarzyna Mazur | Fizyka},{0: sala nr 8 | Mateusz Kowalski | Język niemiecki}
8,{},{0: sala nr 5 | Zofia Wiśniewska | Wychowanie fizyczne},{},{0: sala nr 6 | Paweł Lewandowski | Matematyka},{0: sala nr 4 | Dominik Kaczor | Informatyka}
9,{0: sala nr 10 | Zofia Wiśniewska | Wychowanie fizyczne},{},{},{0: sala nr 4 | Mateusz Kowalski | Język niemiecki},{0: sala nr 10 | Katarzyna Mazur | Fizyka}
10,{0: sala nr 5 | Jan Nowak | Język polski},{0: sala nr 11 | Lena Kowalska | Język angielski},{},{0: sala nr 4 | Dominik Kaczor | Informatyka},{0: sala nr 4 | Paweł Lewandowski | Matematyka}
11,{0: sala nr 5 | Jan Nowak | Język polski},{0: sala nr 6 | Paweł Lewandowski | Matematyka},{},{0: sala nr 1 | Lena Kowalska | Język angielski},{0: sala nr 8 | Dominik Kaczor | Informatyka}
12,{0: sala nr 6 | Dominik Kaczor | Informatyka},{0: sala nr 2 | Piotr Wójcik | Biologia},{},{0: sala nr 3 | Natalia Szymańska | Geografia},{}
13,{0: sala nr 11 | Katarzyna Mazur | Fizyka},{0: sala nr 6 | Jan Nowak | Język polski},{},{0: sala nr 5 | Natalia Szymańska | Geografia},{0: sala nr 8 | Jan Nowak | Język polski}
