,Day 1,Day 2,Day 3,Day 4,Day 5
0,{0: sala nr 4 | Piotr Wójcik | Biologia},{},{},{},{0: sala nr 9 | Jan Nowak | Język polski}
1,{0: sala nr 2 | Katarzyna Mazur | Fizyka},{},{},{},{0: sala nr 4 | Lena Kowalska | Język angielski}
2,{0: sala nr 9 | Zofia Wiśniewska | Wychowanie fizyczne},{},{},{0: sala nr 2 | Katarzyna Mazur | Fizyka},{0: sala nr 11 | Zofia Wiśniewska | Wychowanie fizyczne}
3,{0: sala nr 9 | Paweł Lewandowski | Matematyka},{0: sala nr 5 | Piotr Wójcik | Biologia},{},{0: sala nr 9 | Paweł Lewandowski | Matematyka},{0: sala nr 2 | Dominik Kaczor | Informatyka}
4,{0: sala nr 9 | Natalia Szymańska | Geografia},{0: sala nr 5 | Jan Nowak | Język polski},{},{0: sala nr 1 | Mateusz Kowalski | Język niemiecki},{0: sala nr 10 | Katarzyna Mazur | Fizyka}
5,{},{0: sala nr 6 | Dominik Kaczor | Informatyka},{},{0: sala nr 2 | Zofia Wiśniewska | Wychowanie fizyczne},{}
6,{},{0: sala nr 3 | Paweł Lewandowski | Matematyka},{0: sala nr 2 | Katarzyna Mazur | Fizyka},{0: sala nr 3 | Lena Kowalska | Język angielski},{}
7,{},{0: sala nr 9 | Karolina Kamińska | Chemia},{0: sala nr 8 | Dominik Kaczor | Informatyka},{0: sala nr 5 | Jan Nowak | Język polski},{}
8,{},{0: sala nr 6 | Lena Kowalska | Język angielski},{0: sala nr 3 | Karolina Kamińska | Chemia},{0: sala nr 4 | Dominik Kaczor | Informatyka},{}
9,{},{0: sala nr 10 | Dominik Kaczor | Informatyka},{0: sala nr 4 | Jan Nowak | Język polski},{},{}
10,{},{0: sala nr 8 | Natalia Szymańska | Geografia},{0: sala nr 3 | Mateusz Kowalski | Język niemiecki},{},{}
11,{},{},{0: sala nr 3 | Paweł Lewandowski | Matematyka},{},{}
12,{},{},{0: sala nr 11 | Lena Kowalska | Język angielski},{},{}
13,{},{},{0: sala nr 5 | Paweł Lewandowski | Matematyka},{},{}
